FinalGrade,PSS_Stress,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
0.780952381,21,105,58066.66667,14146.17169,51235.29412,70080.45977,330000,5000,7000,119,298,0.27869,0.73109,6097000,743929746.9
0.733333333,27,105,84676.19048,17746.50699,62174.82517,103383.7209,316000,10000,13000,143,327,0.28657,0.6014,8891000,655369612.8
0.647619048,25,105,54123.80952,20516.24549,46203.25203,75773.33333,403000,7000,2000,123,149,0.44565,0.60976,5683000,1428569482
0.723809524,30,105,73152.38095,15611.78862,60480.31496,90364.70588,490000,6000,9000,127,336,0.26132,0.66929,7681000,873741042
0.828571429,19,105,86352.38095,20560.0907,62531.03448,85537.73585,749000,6000,7000,145,281,0.33721,0.73103,9067000,1205215131
0.619047619,30,105,80466.66667,19926.88679,61224.63768,112653.3333,899000,8000,11000,138,279,0.32701,0.54348,8449000,1807959181
0.514285714,25,105,96733.33333,7991.3454,61186.74699,125395.0617,384000,2000,14000,166,1076,0.13091,0.48795,10157000,335986539.2
0.771428571,23,105,68790.47619,21561.19403,66266.05505,89172.83951,436000,6000,11000,109,226,0.32733,0.74312,7223000,1854121244
0.490740741,26,108,102907.4074,192.41024,687.5348,1136.86579,186000,NaN,68000,16165,34302,0.29843,0.60476,11114000,291919.3339
0.559633028,32,109,96706.42202,1246.42308,3827.5236,6065.01726,196000,1000,48000,2754,4603,0.3277,0.63108,10541000,5434301.596
0.415841584,39,101,100603.9604,154.32633,547.67423,1069.80417,148000,NaN,69000,18553,42626,0.28345,0.51194,10161000,146003.7993
0.37,18,100,103790,164.37553,599.21483,1187.66449,144000,NaN,73000,17321,31838,0.32327,0.50453,10379000,201500.5516
0.43877551,30,98,102377.551,209.5447,693.89308,1130.09687,138000,NaN,80000,14459,30123,0.30202,0.61401,10033000,171487.2507
0.743119266,20,109,67688.07339,14875,42895.34884,71631.06796,336000,9000,9000,172,257,0.35102,0.59884,7378000,456521717.2
0.678899083,24,109,78853.21101,23104.83871,69314.51613,107437.5,469000,8000,5000,124,234,0.33423,0.64516,8595000,1777824559
0.532110092,36,109,87137.61468,20966.88742,67842.85714,141761.194,277000,7000,10000,140,286,0.30905,0.47857,9498000,977098458.7
0.651376147,21,109,66844.0367,20581.9209,47620.91503,83747.12644,278000,13000,7000,153,185,0.4322,0.56863,7286000,486345961.2
0.623853211,25,109,83238.53211,21002.31481,65273.38129,116320.5128,340000,10500,9000,139,183,0.32629,0.56115,9073000,760178648.9
0.651376147,32,109,62293.57798,15717.59259,49562.0438,87051.28205,389000,7000,7000,137,198,0.31787,0.56934,6790000,552189202.5
0.825688073,15,109,75596.33028,16816.32653,53856.20915,81584.15842,386000,10000,12000,153,247,0.31677,0.66013,8240000,515589916.9
0.798165138,13,109,48440.36697,8873.94958,40305.34351,56774.19355,226000,3000,5000,131,397,0.22054,0.70992,5280000,228144017.2
0.697247706,23,109,65394.49541,16890.99526,57024,88000,448000,9000,18000,125,263,0.30193,0.648,7128000,453969087.4
0.596330275,15,109,47486.23853,11657.65766,37781.0219,71888.88889,224000,5000,8000,137,261,0.31066,0.52555,5176000,215363349.8
0.697247706,37,109,77073.3945,26253.125,62694.02985,100011.9048,308000,13500,10000,134,185,0.41875,0.62687,8401000,906941996.5
0.816513761,17,109,77926.6055,17659.04366,53759.49367,84099.0099,391000,10000,9000,158,268,0.33193,0.63924,8494000,479116839.9
0.779816514,11,109,64009.17431,16852.657,56266.12903,78393.25843,366000,4000,8000,124,230,0.29952,0.71774,6977000,637961288.3
0.788990826,24,109,82743.11927,32559.56679,75158.33333,96978.49462,312000,19000,13000,120,157,0.43321,0.775,9019000,1293696620
0.834862385,16,109,73302.75229,25284.81013,64435.48387,81530.61224,426000,15000,9000,124,139,0.39241,0.79032,7990000,1251334499
0.706422018,24,109,96146.78899,21878.91441,66751.59236,113913.0435,392000,17000,13000,157,269,0.32983,0.58599,10480000,420068989.6
0.660550459,26,109,78467.88991,18553.14534,57402.68456,104304.8781,326000,10000,13000,149,272,0.32747,0.55034,8553000,539965104.2
0.706422018,17,109,79256.88073,22497.39583,69669.35484,109354.4304,509000,9000,3000,124,181,0.32632,0.6371,8639000,993613570.2
0.724770642,9,109,71385.3211,15469.18489,60789.0625,90476.74419,308000,6000,8000,128,222,0.25447,0.67188,7781000,557643968.9
0.490740741,21,108,78250,7755.9633,60364.28571,136306.4516,356000,2000,23000,140,835,0.13903,0.44286,8451000,273762246.3
0.824074074,22,108,97629.62963,25104.7619,72219.17808,103372.549,591000,14000,10000,146,244,0.34845,0.69863,10544000,1578910240
0.574074074,28,108,86574.07407,19042.76986,73622.04724,133571.4286,320000,4000,5000,127,321,0.25971,0.55118,9350000,938767554.8
0.481481481,27,108,90379.62963,24281.09453,76858.26772,162683.3333,284000,8000,10000,127,267,0.31592,0.47244,9761000,1436092859
0.611111111,19,108,74231.48148,18609.1954,60734.84848,109821.9178,458000,5000,10000,132,197,0.38596,0.55303,8017000,898464431.4
0.583333333,22,108,75555.55556,19200,60895.52239,114929.5775,358000,6000,8000,134,226,0.37222,0.52985,8160000,909834905.7
0.694444444,25,108,72555.55556,16057.37705,48975,87066.66667,365000,5000,3000,160,231,0.36952,0.5625,7836000,816776988.6
0.740740741,17,108,99842.59259,18276.27119,59247.25275,98926.6055,537000,6000,8000,182,190,0.42424,0.5989,10783000,1167612849
0.638888889,20,108,85268.51852,18491.96787,71387.5969,121171.0526,352000,6000,8000,129,367,0.26008,0.58915,9209000,804479814.6
0.712962963,34,108,95574.07407,17089.40397,53206.18557,92990.99099,403000,6000,7000,194,342,0.32441,0.57216,10322000,739600617.2
0.768518519,19,108,99388.88889,23385.62092,75591.5493,117956.044,395000,11000,9000,142,303,0.31347,0.64085,10734000,1290547478
0.851851852,25,108,78509.25926,30945.25547,72470.08547,90202.12766,434000,14500,4000,117,126,0.42701,0.80342,8479000,1960000655
0.75,22,108,81537.03704,15275.08651,75264.95726,103600,421000,7000,7000,117,157,0.2925,0.7265,8806000,611042047.2
0.712962963,26,108,98416.66667,26840.90909,66431.25,109577.3196,545000,10000,9000,160,232,0.40404,0.60625,10629000,2205825259
0.787037037,30,108,86166.66667,19307.05394,68933.33333,95938.14433,372000,9000,7000,135,299,0.2897,0.71852,9306000,716134212.1
0.583333333,26,108,70009.25926,10989.82558,54395.68345,95708.86076,387000,3000,8000,139,314,0.27043,0.56835,7561000,430091599.4
0.731481481,22,108,81490.74074,22224.74747,66674.24242,102337.2093,329000,13000,10000,132,264,0.33333,0.65152,8801000,737891132.8
0.833333333,25,108,98935.18519,25997.56691,92112.06897,117417.5824,651000,10000,12000,116,275,0.28224,0.78448,10685000,1462090238
0.546296296,29,108,89564.81481,32243.33333,78008.06452,156016.129,457000,8000,13000,124,174,0.41333,0.5,9673000,3595756644
0.712962963,34,108,99537.03704,26741.29353,83984.375,127976.1905,370000,13000,2000,128,158,0.4129,0.65625,10750000,1270097493
0.740740741,28,108,99259.25926,28894.87871,72925.17007,110515.4639,441000,9000,7000,147,186,0.40054,0.65986,10720000,2305088920
0.685185185,19,108,89018.51852,15382.4,60087.5,104500,677000,6000,9000,160,277,0.31496,0.575,9614000,1063242959
0.685185185,24,108,90388.88889,17846.4351,77476.19048,122025,312000,4000,14000,126,310,0.23774,0.63492,9762000,849529488.2
0.712962963,30,108,80935.18519,13963.25879,68289.0625,104059.5238,701000,3000,9000,128,497,0.2048,0.65625,8741000,972137847.9
0.75,21,108,87240.74074,22924.57421,77867.7686,108298.8506,500000,10000,13000,121,228,0.3467,0.71901,9422000,1326426004
0.564814815,37,108,98379.62963,41830.70866,90042.37288,166015.625,376000,17000,8000,118,136,0.46457,0.54237,10625000,2929643164
0.51,34,100,99690,13618.85246,31153.125,68280.82192,269000,2000,14000,320,329,0.44944,0.45625,9969000,776515266.5
0.633663366,29,101,67792.07921,17032.33831,54341.26984,93794.52055,299000,8000,8000,126,276,0.315,0.57937,6847000,518395460.4
0.52,28,100,90900,20706.15034,61006.71141,124520.548,409000,9000,13000,149,271,0.35476,0.48993,9090000,882911172.1
0.72,28,100,97980,36154.98155,89889.90826,134219.1781,471000,19000,8000,109,113,0.436,0.66972,9798000,2816731447
0.633663366,22,101,77128.71287,14838.09524,59923.07692,103866.6667,357000,6000,8000,130,297,0.25,0.57692,7790000,487540530.7
0.74,21,100,99810,10944.07895,51715.02591,85307.69231,324000,4000,10000,193,325,0.30538,0.60622,9981000,298410700.4
0.336633663,42,101,68267.32673,19206.12813,51842.10526,172375,1106000,3000,12000,133,226,0.37151,0.30075,6895000,4833868007
0.21,39,100,68920,12861.9403,46567.56757,202705.8824,411000,2000,12000,148,382,0.27925,0.22973,6892000,663595857.2
0.663366337,27,101,84277.22772,22166.66667,59524.47552,98976.74419,568000,8000,5000,143,221,0.37533,0.6014,8512000,1385366406
0.53,38,100,99800,36556.77656,94150.9434,181454.5455,431000,9000,14000,106,166,0.39259,0.51887,9980000,2718835919
0.42,32,100,97990,22841.49184,86716.81416,208489.3617,545000,4000,5000,113,209,0.32659,0.41593,9799000,1765932760
0.752475248,34,101,74405.94059,17935.56086,59173.22835,86379.31034,320000,7000,6000,127,292,0.30456,0.68504,7515000,706510191.7
0.84,27,100,96610,17957.24907,79188.52459,105010.8696,542000,4000,13000,122,414,0.22761,0.7541,9661000,834662973.4
0.722772277,17,101,83415.84158,14964.47602,65820.3125,100297.6191,501000,5000,9000,128,396,0.22857,0.65625,8425000,615461369.3
0.75,10,100,97380,11732.53012,83948.27586,121725,366000,2000,17000,116,261,0.28642,0.68966,9738000,472106901.9
0.74,23,100,86590,23594.00545,76628.31858,109607.5949,661000,6000,6000,113,152,0.39373,0.69912,8659000,1405575155
0.742574257,20,101,70683.16832,16837.26415,53676.69173,82057.47126,242000,9000,9000,133,244,0.31591,0.65414,7139000,479857615.2
0.524752475,25,101,80099.0099,22043.59673,68559.32203,137118.6441,290000,10000,8000,118,249,0.32507,0.5,8090000,859156564.1
0.46,18,100,91320,37426.22951,83018.18182,186367.3469,467000,17000,15000,110,131,0.45643,0.44545,9132000,2284443095
0.55,35,100,93160,18447.52475,76360.65574,145562.5,273000,5000,16000,122,266,0.26696,0.52459,9316000,771644562.3
0.481818182,19,110,99463.63636,16780.67485,66713.41463,160897.0588,653000,7000,13000,164,323,0.29656,0.41463,10941000,636128473.9
0.454545455,26,110,98363.63636,25433.87471,69806.45161,150277.7778,588000,11000,14000,155,175,0.4697,0.46452,10820000,1234813641
0.636363636,23,110,99490.90909,27890.58524,79304.34783,136800,414000,13000,8000,138,160,0.42073,0.57971,10944000,1390521161
0.345454545,18,110,99554.54545,29677.50678,79934.30657,233000,801000,19000,8000,137,214,0.3881,0.34307,10951000,1170012563
0.545454545,35,110,99872.72727,21884.46215,77914.89362,148459.4595,385000,9000,8000,141,171,0.36815,0.52482,10986000,894170257.1
0.581818182,30,110,100000,18121.91104,63218.3908,129411.7647,367000,7000,16000,174,230,0.41928,0.48851,11000000,831169931.7
0.590909091,23,110,98918.18182,29554.05405,81812.03008,147040.5405,517000,6500,22000,133,136,0.42765,0.55639,10881000,1636394089
0.518181818,16,110,99127.27273,11382.04593,33863.35404,67726.70807,250000,3000,27000,322,267,0.46532,0.5,10904000,433130795.4
0.510204082,30,98,84142.85714,33520.3252,74963.63636,161686.2745,475000,12500,13000,110,130,0.44715,0.46364,8246000,2099222034
0.744897959,27,98,97510.20408,16648.08362,69751.82482,112423.5294,435000,7000,17000,137,338,0.23868,0.62044,9556000,565471052.2
0.867346939,28,98,99755.10204,26710.38251,72414.81481,96792.07921,534000,16500,6000,135,202,0.36885,0.74815,9776000,1158020001
0.702970297,10,101,74920.79208,16928.41163,60536,98272.72727,287000,9000,10000,125,271,0.28153,0.616,7567000,456384998.1
0.75,13,100,98230,17113.24042,78584,112908.046,323000,11000,13000,125,212,0.32383,0.696,9823000,401744571.3
0.755102041,25,98,56520.40816,23079.16667,48165.21739,69237.5,215000,9000,3000,115,122,0.47917,0.69565,5539000,1023830526
0.775510204,30,98,85408.16327,20977.44361,74732.14286,102073.1707,349000,10000,11000,112,254,0.2807,0.73214,8370000,887941701
0.584158416,33,101,75742.57426,16276.59574,58846.15385,109285.7143,378000,6500,6000,130,256,0.28078,0.53846,7650000,538511817.8
0.52,15,100,83320,14720.84806,57068.49315,120753.6232,413000,5000,19000,146,256,0.2874,0.4726,8332000,565065299.1
0.418181818,33,110,100145.4546,18895.36878,81600,189931.0345,437000,3000,3000,135,289,0.30963,0.42963,11016000,972258792.9
0.6,17,110,99518.18182,24326.66667,85523.4375,149958.9041,640000,12500,13000,128,223,0.31527,0.57031,10947000,927432026.7
0.472727273,32,110,98863.63636,20635.67362,71546.05263,167307.6923,330000,7000,13000,152,342,0.29344,0.42763,10875000,958817584.3
0.4,26,110,99490.90909,19700.17953,68830.18868,171000,321000,11000,17000,159,263,0.36552,0.40252,10944000,467821816.5
0.581818182,18,110,99009.09091,27433.24937,66408.53659,128129.4118,624000,16000,4000,164,155,0.47536,0.51829,10891000,1307892629
0.472727273,24,110,99736.36364,21305.60928,89926.22951,199472.7273,424000,9000,12000,122,145,0.45693,0.45082,10971000,1015794019
0.463636364,19,110,99318.18182,40917.603,95833.33333,206132.0755,434000,22000,10000,114,141,0.42697,0.46491,10925000,2489421757
0.654545455,28,110,100090.9091,20388.88889,83409.09091,137625,395000,5500,13000,132,221,0.30345,0.60606,11010000,1057585034
0.653465347,34,101,64247.52475,16898.4375,56426.08696,91394.3662,868000,3000,9000,115,229,0.30026,0.61739,6489000,1289151538
0.425742574,32,101,87811.88119,19238.61171,76456.89655,184770.8333,480000,5000,18000,116,324,0.25328,0.41379,8869000,1045469028
0.38,30,100,96100,22558.68545,74496.12403,204468.0851,404000,5000,11000,129,233,0.34309,0.36434,9610000,1444068313
0.336633663,25,101,89069.30693,16035.65062,75596.63866,219414.6342,472000,2000,10000,119,359,0.21441,0.34454,8996000,989970155.3
0.34,14,100,98790,15908.21256,78404.7619,246975,280000,3000,20000,126,429,0.20826,0.31746,9879000,805315755
0.663366337,27,101,70514.85149,28374.50199,61396.55172,98916.66667,687000,8000,4000,116,123,0.464,0.62069,7122000,2143787187
0.396039604,36,101,97960.39604,7669.76744,76107.69231,183222.2222,519000,2000,17000,130,979,0.10188,0.41538,9894000,359327634.5
0.31,28,100,98540,10557.21925,75800,229162.7907,322000,1000,17000,130,471,0.16905,0.33077,9854000,558606733.2
0.752475248,29,101,70633.66337,14987.39496,47879.19463,78395.6044,216000,9000,8000,149,279,0.31435,0.61074,7134000,309515630.3
0.83,31,100,99520,14613.80323,63794.87179,98534.65347,391000,8000,14000,156,319,0.30648,0.64744,9952000,369537397.4
0.504950495,31,101,89990.09901,32230.49645,77025.42373,165254.5455,378000,11500,8000,118,131,0.42294,0.4661,9089000,2105622839
0.45,25,100,93440,37829.95951,81252.17391,190693.8776,323000,18000,4000,115,111,0.46559,0.42609,9344000,2390572595
0.495049505,17,101,71415.84158,22682.38994,61649.57265,131145.4546,250000,9000,1000,117,201,0.36909,0.47009,7213000,788248963.4
0.48,17,100,90300,23952.25464,72240,161250,270000,10000,8000,125,198,0.387,0.448,9030000,1061316863
0.435643564,31,101,63227.72277,14480.72562,52776.8595,130326.5306,280000,3000,2000,121,320,0.27563,0.40496,6386000,642204741.3
0.42,15,100,89190,20456.42202,67568.18182,182020.4082,634000,4500,8000,132,179,0.40994,0.37121,8919000,1790317637
0.544554455,26,101,80128.71287,24230.53892,58644.92754,115614.2857,365000,14000,6000,138,163,0.41692,0.50725,8093000,1154003749
0.554545455,28,110,99718.18182,18153.46535,59939.89071,117946.2366,440000,8000,16000,183,300,0.35192,0.5082,10969000,707584673.9
0.867346939,19,98,80081.63265,21210.81081,66508.47458,83489.3617,690000,7000,8000,118,248,0.32065,0.79661,7848000,951229151.1
0.642857143,30,98,79806.12245,21907.56303,64106.55738,108625,292000,7000,10000,122,234,0.34174,0.59016,7821000,1307758285
0.732673267,29,101,75009.90099,24517.79935,63133.33333,93530.8642,335000,11000,7000,120,156,0.39474,0.675,7576000,1025588156
0.72,28,100,99980,24686.41975,86939.13043,133306.6667,507000,8000,15000,115,144,0.4007,0.65217,9998000,2016106870
0.524752475,25,101,77069.30693,21865.16854,56817.51825,119753.8462,468000,11000,7000,137,219,0.3881,0.47445,7784000,1110933882
0.663366337,25,101,66108.91089,19353.62319,57560.34483,87855.26316,338000,4000,4000,116,178,0.33819,0.65517,6677000,1010525750
0.623762376,31,101,76118.81188,20611.26005,50913.90728,99844.15584,378000,10000,8000,151,168,0.40811,0.50993,7688000,679792023.4
0.455445545,21,101,80227.72277,13595.63758,45779.66102,117434.7826,311000,4000,9000,177,369,0.29899,0.38983,8103000,558920249.8
0.63,25,100,87410,19642.69663,64272.05882,112064.1026,263000,8000,15000,136,249,0.307,0.57353,8741000,793158082.8
0.514851485,10,101,78376.23762,24737.5,67084.74576,136482.7586,372000,9500,4000,118,140,0.37107,0.49153,7916000,1240181661
0.58,4,100,93380,15012.86174,72387.5969,127917.8082,521000,3000,10000,129,245,0.27802,0.56589,9338000,570199512.2
0.712871287,25,101,73831.68317,18012.07729,57806.20155,93212.5,315000,10000,8000,129,279,0.31387,0.62016,7457000,529919950.6
0.51,28,100,96750,25938.3378,73295.45455,166810.3448,368000,14000,8000,132,198,0.39759,0.43939,9675000,1090036510
0.56,26,100,67550,19636.62791,63130.84112,116465.5172,206000,7000,7000,107,205,0.31105,0.54206,6755000,810412765.3
0.792079208,39,101,66168.31683,17224.2268,55691.66667,79559.52381,316000,9000,8000,120,252,0.31169,0.7,6683000,652815225.5
0.85,36,100,74130,18258.62069,60268.29268,79709.67742,342000,8000,10000,123,227,0.33791,0.7561,7413000,1049683567
0.574257426,27,101,81613.86139,20454.09429,77037.38318,132951.6129,245000,2000,7000,107,236,0.26683,0.57944,8243000,1356626619
0.66,22,100,97970,27289.69359,85191.30435,136069.4444,574000,10000,4000,115,127,0.42435,0.62609,9797000,1767630927
0.59,29,100,99370,20573.49896,84211.86441,146132.3529,427000,7000,10000,118,169,0.35435,0.57627,9937000,982319794.2
0.653465347,34,101,70217.82178,16926.01432,51021.58273,86487.80488,514000,8000,6000,139,236,0.33333,0.58993,7092000,624154800.1
0.623762376,30,101,73821.78218,16868.77828,62655.46218,108057.971,262000,4000,9000,119,319,0.27169,0.57983,7456000,705651676.1
0.41,18,100,73390,21973.05389,57335.9375,149775.5102,241000,9000,6000,128,188,0.4,0.38281,7339000,1221419692
0.564356436,22,101,38940.59406,13423.20819,33905.17241,62428.57143,141000,7000,3000,116,169,0.39863,0.5431,3933000,252498363.6
0.7,17,100,50100,12431.76179,37111.11111,62625,274000,4000,7000,135,188,0.39589,0.59259,5010000,370176302.1
0.46,30,100,77120,25285.2459,69477.47748,148307.6923,369000,5000,8000,111,136,0.40072,0.46847,7712000,1894237446
0.603960396,16,101,81643.56436,23033.51955,59753.62319,112958.9041,261000,14000,9000,138,218,0.38764,0.52899,8246000,682900834.1
